297050, 12, 137
297050, 193, 776
297056, 12, 203
297057, 1, 4
297057, 14, 105
297057, 112, 377
297057, 385, 418
297057, 424, 509
297057, 516, 906
297099, 24, 62
297100, 1, 15
297100, 21, 369
297100, 375, 381
297101, 1, 668
297101, 673, 697
297101, 700, 856
297101, 862, 937
297101, 943, 1101
297113, 1, 204
297113, 211, 252
297114, 1, 99
297114, 106, 161
297175, 1, 85
297176, 11, 120
297176, 125, 214
297177, 1, 162
297178, 1, 54
297178, 59, 334
297178, 342, 749
297178, 754, 967
297178, 972, 1037
297178, 1043, 1264
297178, 1272, 1282
297178, 1290, 1385
297179, 1, 6
297179, 12, 97
297215, 1, 47
297218, 1, 27
297219, 1, 80
297219, 85, 281
297219, 288, 579
297219, 585, 916
297219, 921, 1429
297219, 1436, 2004
297219, 2010, 2638
297224, 10, 19
297224, 24, 138
297225, 1, 32
297227, 9, 192
297292, 1, 125
297292, 130, 131
297292, 136, 667
297292, 675, 753
297293, 1, 121
297293, 127, 150
297296, 1, 236
297296, 240, 401
297296, 406, 418
297296, 425, 497
297308, 1, 44
297359, 39, 70
297359, 164, 180
297411, 32, 737
297411, 740, 800
297411, 807, 950
297424, 32, 149
297425, 1, 107
297425, 112, 157
297426, 1, 28
297426, 34, 84
297426, 90, 111
297429, 1, 72
297430, 1, 199
297431, 1, 49
297431, 55, 64
297431, 71, 188
297432, 1, 112
297433, 1, 159
297434, 1, 161
297435, 1, 94
297467, 50, 138
297468, 1, 74
297469, 1, 4
297469, 9, 70
297483, 37, 68
297483, 71, 201
297483, 206, 214
297484, 1, 47
297484, 53, 208
297484, 214, 214
297485, 1, 16
297485, 23, 253
297485, 258, 299
297485, 302, 314
297485, 321, 420
297486, 1, 74
297486, 79, 598
297486, 603, 625
297487, 1, 433
297487, 439, 491
297487, 495, 603
297487, 609, 613
297488, 1, 73
297488, 80, 424
297503, 5, 275
297503, 282, 559
297503, 566, 606
297503, 612, 635
297503, 642, 772
297503, 777, 779
297504, 1, 41
297504, 125, 136
297505, 1, 394
297557, 8, 28
297557, 67, 113
297557, 119, 167
297557, 173, 174
297557, 180, 394
297558, 9, 266
297562, 1, 69
297562, 120, 369
297563, 1, 254
297563, 260, 264
297598, 17, 17
297598, 22, 33
297599, 1, 169
297599, 211, 225
297599, 230, 312
297599, 319, 385
297599, 395, 407
297603, 1, 420
297604, 1, 126
297604, 131, 272
297604, 279, 375
297604, 381, 407
297605, 1, 6
297605, 13, 20
297605, 24, 89
297605, 95, 223
297605, 257, 407
297606, 1, 94
297606, 99, 231
297620, 32, 318
297656, 64, 116
297656, 123, 135
297656, 140, 230
297656, 269, 307
297656, 313, 330
297656, 341, 388
297656, 393, 433
297665, 1, 153
297665, 159, 209
297665, 214, 279
297666, 1, 11
297666, 17, 81
297666, 86, 121
297670, 21, 34
297674, 3, 102
297674, 108, 188
297675, 1, 123
297675, 129, 239
297675, 244, 328
297675, 334, 467
297675, 470, 471
297722, 55, 160
297722, 165, 353
297723, 1, 13
297723, 51, 222
298996, 33, 216
298997, 1, 37
298997, 47, 47
299000, 4, 77
299042, 33, 55
299061, 38, 355
299062, 1, 163
299062, 166, 303
299064, 7, 85
299065, 13, 248
299065, 251, 342
299067, 1, 459
299096, 2, 97
299149, 29, 470
299178, 37, 56
299178, 58, 111
299180, 5, 98
299184, 1, 561
299185, 1, 120
299327, 1, 72
299329, 1, 172
299368, 37, 175
299369, 1, 303
299370, 1, 7
299370, 47, 705
299380, 34, 227
299381, 1, 45
299394, 5, 33
299395, 1, 187
299396, 1, 81
299420, 2, 50
299443, 145, 164
299450, 39, 88
299477, 39, 42
299477, 82, 87
299478, 1, 175
299479, 1, 123
299480, 1, 6
299480, 8, 715
299481, 1, 196
299481, 199, 236
299481, 260, 479
299481, 487, 940
299481, 943, 1037
299481, 1061, 1257
299593, 95, 177
299593, 179, 896
299594, 1, 317
299595, 1, 134
299595, 138, 138
299597, 3, 91
299597, 93, 540
299649, 151, 332
299649, 36, 59
299649, 61, 126
299649, 128, 216
299649, 218, 239
299649, 1, 21
299649, 1, 74
299649, 1, 28
299649, 30, 47
299649, 35, 67
299649, 46, 730
299649, 735, 924
299649, 927, 1295
299649, 1, 384
299649, 387, 612
299649, 35, 1229
299649, 1, 72
299649, 9, 1107
299649, 43, 448
299649, 43, 162
299649, 1, 59
299649, 1, 187
299649, 11, 187
299649, 1, 713
299649, 716, 717
299649, 30, 58
299649, 62, 329
299649, 1, 145
299649, 148, 167
299649, 171, 213
299649, 1, 7
299649, 11, 46
299649, 51, 362
299649, 52, 56
