jet1_mass,jet1_pt,jet1_eta,jet1_phi,jet2_mass,jet2_pt,jet2_eta,jet2_phi,lep1_mass,lep1_pt,lep1_eta,lep1_phi,lep2_mass,lep2_pt,lep2_eta,lep2_phi,higgsness,topness,target
18.234375,125.6875,-0.9593505859374998,-2.68310546875,15.406250000000117,97.93750000000001,-1.1267089843749998,-1.4736328125,0.10571289064220689,140.11355590820312,-0.039291381835937486,1.123779296875,0.10571289062526885,18.058454513549805,-0.45758056640624994,1.032470703125,266.9002612226707,1323.9985403249532,1
8.218750000000885,76.1875,-2.0698242187500018,2.7451171875,6.33984375,53.375,-1.6945800781249998,0.79931640625,0.105712890625,67.30670166015625,-0.49383544921875006,2.69140625,0.105712890625,27.640832901000977,-0.9406738281249999,2.36474609375,149.31966275982052,413.1932975303248,1
9.742187499999954,65.5,-0.8175048828124999,-1.60986328125,5.28125,37.75,-1.08837890625,0.958740234375,0.105712890625,29.57794761657715,-0.13897705078124997,3.0,0.10571289062392457,29.395641326904297,-0.6590576171875001,1.72265625,207.50741140656527,346.0524351734256,1
16.750000000000217,113.25,-1.124267578125,-2.5419921875,15.8046875,78.125,-1.4641113281249998,-0.812744140625,0.105712890625,85.50702667236328,-0.2763671874999999,1.416748046875,0.105712890625,58.23355102539063,-0.030662536621093802,1.526123046875,264.4860981459068,738.6770656957176,1
14.75,120.99999999999999,0.9727783203125,2.58740234375,9.84375,53.40625,-0.01916885375976557,1.189208984375,0.105712890625,120.42042541503906,0.09153747558593749,-0.6812744140625,0.105712890625,24.873054504394535,0.45684814453124994,-1.243408203125,375.8644108037714,659.873411083116,1
8.546875000000213,78.0,-1.3286132812500007,0.37530517578125,6.015625,38.9375,-0.029247283935546826,-0.5780029296875,0.105712890625,52.398223876953125,-0.21017456054687497,-2.11962890625,0.105712890625,23.088760375976566,-0.565185546875,3.06396484375,9.172521701561049,214.06803199509358,1
14.921874999999513,89.1875,1.8083496093749996,0.2994384765625,11.8984375,82.9375,1.78955078125,1.933349609375,0.105712890625,63.09833908081055,1.0634765624999998,-1.702880859375,0.105712890625,49.92465591430664,1.3857421875000004,-1.3544921875,73.17364908114536,233.45652266449167,1
17.9375,157.75,-1.182861328125,1.152587890625,4.949218750000184,30.812499999999996,-1.9545898437499996,2.71337890625,0.10571289065941376,150.45941162109375,-0.8480224609374999,-1.34033203125,0.10571289062284914,22.501272201538086,-1.4147949218749998,-1.03857421875,137.95830105260856,513.4916722345072,1
17.09375,98.68750000000001,-1.7719726562499993,-1.62060546875,10.0546875,93.4375,-1.0773925781250002,-2.03857421875,0.105712890625,114.68283843994139,-0.31463623046875006,1.22998046875,0.105712890625,53.95242309570312,-0.1676940917968751,1.89599609375,333.80399748843877,1263.8308259082637,1
20.46875,116.50000000000001,1.1455078125,1.75830078125,13.0,67.9375,1.1101074218749998,0.7901611328125,0.10571289060779311,161.12222290039062,-0.36761474609374994,-1.96533203125,0.10571289062553771,29.04051971435547,0.14129638671875003,-2.3837890625,1954.7970321544926,1374.572431646708,1
9.414062499999806,76.625,1.3105468750000002,-2.19970703125,6.875,44.71875,-0.3886108398437499,-1.0966796875,0.10571289062392457,35.25742721557617,0.142852783203125,0.49005126953125,0.105712890625,16.873031616210938,-1.3796386718750004,0.26873779296875006,265.38796786243364,595.2045618072497,1
37.09375,278.75,-1.6630859374999998,-1.822509765625,22.31249999999992,137.125,0.4160766601562499,1.7626953125,0.105712890625,26.659435272216797,-1.4509277343750002,-0.16650390625,0.10571289062473115,16.271413803100586,-0.30078124999999994,-0.6246337890625,822.758629935182,390.4117632786291,1
13.0,77.6875,-0.6416015625000001,2.67626953125,6.05078125000015,26.59375,-2.201660156249999,-2.38525390625,0.105712890625,74.0007553100586,1.2390136718750004,-0.71240234375,0.10571289062069827,50.46867370605469,0.7855224609374999,-0.518798828125,49.046614393528685,1119.9820867478015,1
12.40625,92.3125,0.23831176757812492,-1.386962890625,6.003906250000038,34.28125,-0.8338623046875,0.0897979736328125,0.105712890625,68.75419616699219,-1.13525390625,1.25390625,0.10571289062473115,16.550798416137695,-0.63720703125,2.35888671875,3187.2653904094586,151.4589792381367,1
11.171874999999348,85.375,-2.0966796874999982,2.17724609375,13.632812500000133,82.12499999999999,-1.0280761718750007,2.53759765625,0.10571289061639656,100.11846160888672,-0.5739746093750001,-0.8348388671875,0.105712890625,25.480905532836914,-1.5895996093749996,-1.094970703125,42.571926893907545,1016.0858610310148,1
10.390624999999824,153.625,-0.12893676757812497,-2.650390625,7.7109375,50.96875,0.009201049804687519,-1.24462890625,0.105712890625,86.7587661743164,0.37744140625,0.7813720703125,0.10571289062526885,19.21199607849121,-0.18685913085937506,0.8294677734375,452.081041691969,654.4693354484609,1
13.414062500000272,132.75,-1.0507812499999998,2.3212890625,6.253906250000018,35.28125,-0.11395263671875,0.6739501953125001,0.105712890625,168.2183380126953,-0.44555664062499994,0.29486083984375,0.10571289060779311,88.26062774658203,-1.061279296875,0.38751220703124994,274.14913377800235,457.2840920753364,1
18.765625000000096,172.75,0.1950683593750001,-2.8408203125,16.484375000001766,161.625,1.8911132812499991,-0.7947998046875,0.105712890625,77.33380889892578,1.05029296875,0.24020385742187497,0.105712890625,26.355653762817383,1.9133300781250013,0.02019882202148437,70.71016772523933,959.5247140537789,1
